id;date;A2_statut;A2_autre;A3_poste;A4_secteur;A4_secteur_autre;A5_teleravail;A6_experience;B1_utilisation_python;B1_utilisation_r;B1_utilisation_sas;B1_utilisation_powerBI;B1_utilisation_tableau;B1_utilisation_qlik;B1_utilisation_excel;B1_utilisation_sql;B1_utilisation_spark;B1_utilisation_spss;B1_utilisation_c_java;B1_utilisation_datastudio;B1_utilisation_matlab;B1_utilisation_aucun;B2_frequence_utilisation_python;B2_frequence_utilisation_r;B2_frequence_utilisation_sas;B2_frequence_utilisation_powerBI;B2_frequence_utilisation_tableau;B2_frequence_utilisation_qlik;B2_frequence_utilisation_excel;B2_frequence_utilisation_sql;B2_frequence_utilisation_spark;B2_frequence_utilisation_spss;B2_frequence_utilisation_c_java;B2_frequence_utilisation_datastudio;B2_frequence_utilisation_matlab;D1_satisfaction;Y1A_genre;Y1B_age;Y4_diplome;Y2_region
485;03/04/2024 09:00;En CDI;;Data Scientist;Santé;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Occasionnellement;Occasionnellement;;Occasionnellement;;;Régulièrement;;;;;;;5;Une femme;29;Bac + 5;Auvergne-Rhône-Alpes
486;03/04/2024 09:24;En CDD / contrat court / alternance / stage;;Data Analyst / analyste;Marketing;;Présentiel complet (pas ou quasiment pas de travail à distance);1;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Régulièrement;;;Régulièrement;;;Régulièrement;;;;;;;7;Une femme;25;Bac + 2 / 3;Auvergne-Rhône-Alpes
487;04/04/2024 09:57;En CDD / contrat court / alternance / stage;;Chargé d’études / chargé d’études statistiques;Autre;association ;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Régulièrement;Occasionnellement;Occasionnellement;Occasionnellement;;;Régulièrement;Occasionnellement;;;;;;6;Une femme;20;Bac + 2 / 3;Bretagne
488;04/04/2024 14:52;En recherche d'emploi;;;;;;;Oui;Non;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Occasionnellement;;;Régulièrement;Occasionnellement;;Régulièrement;Régulièrement;;;;Régulièrement;;;Une femme;25;Bac + 5;Nouvelle-Aquitaine
489;;En CDD / contrat court / alternance / stage;;Autre;Santé;;Présentiel complet (pas ou quasiment pas de travail à distance);1;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;;;;;;;;;;;;;;;;;;
490;05/04/2024 10:33;En CDD / contrat court / alternance / stage;;Autre;Santé;;Présentiel complet (pas ou quasiment pas de travail à distance);1;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Jamais;Jamais;Régulièrement;Jamais;;;Régulièrement;Occasionnellement;;;;;;7;Une femme;20;Bac + 2 / 3;Bretagne
491;;;;;;;;;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;
492;06/04/2024 13:45;En CDI;;Data Analyst / analyste;Prestation de services informatiques / statistiques;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;10;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Non;Régulièrement;Occasionnellement;Régulièrement;Régulièrement;Occasionnellement;Occasionnellement;Régulièrement;Régulièrement;Occasionnellement;Régulièrement;;Occasionnellement;;8;Une femme;34;Bac + 5;Pays de la Loire
493;08/04/2024 12:59;Indépendant / freelance;;Chargé d’études / chargé d’études statistiques;Prestation de services informatiques / statistiques;;Distanciel complet (pas de travail sur site);5;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Occasionnellement;Occasionnellement;Jamais;Régulièrement;;;Régulièrement;Régulièrement;;;;;;5;Un homme;28;Bac + 5;Auvergne-Rhône-Alpes
494;08/04/2024 22:09;En CDD / contrat court / alternance / stage;;Data Scientist;Santé;;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4;Oui;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Jamais;Régulièrement;;Jamais;;;Occasionnellement;Occasionnellement;;;;;;3;Un homme;29;Bac + 5;Pays de la Loire
495;;En CDI;;Data Scientist;Industrie;;Distanciel complet (pas de travail sur site);5;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Régulièrement;Jamais;Jamais;;;;Jamais;Jamais;Jamais;;Jamais;;;;;;;
